Modelo 	 SSE 	 AIC 	 AICc 	 Delta_AIC 	 Delta_AICc 	 Likelihood 	 Likelihood_c 	 AIC_weights 	 AICc_weights 	 AIC_evid_ratio 	 AICc_evid_ratio 	 BIC 	 Delta_BIC 	 BIC_prob
59	0.03213894520077913	-2702.5838978588113	-2697.8566251315387	3294.9072170653776	3299.553681711842	0.0	0.0	0.0	0.0	inf	inf	-2609.9061412400893	3376.4636428898534	0.0
60	0.05906598030004513	-2539.399334763914	-2537.715124237598	3458.091780160275	3459.6951826057825	0.0	0.0	0.0	0.0	inf	inf	-2483.7926807926806	3502.577103337262	0.0
61	0.004754075365361534	-3317.8148598848857	-3317.611470054377	2679.676255039303	2679.7988367890034	0.0	0.0	0.0	0.0	inf	inf	-3299.279308561141	2687.0904755688016	0.0
62	0.008128968005299138	-3112.348901018646	-3106.8104394801844	2885.142213905543	2890.599867363196	0.0	0.0	0.0	0.0	inf	inf	-3012.2569238704264	2974.1128602595163	0.0
63	0.043546835752865776	-2621.149578762149	-2618.149578762149	3376.34153616204	3379.2607280812317	0.0	0.0	0.0	0.0	inf	inf	-2547.0073734671714	3439.3624106627713	0.0
64	0.2123202021344727	-2144.287776357149	-2141.287776357149	3853.2033385670397	3856.1225304862314	0.0	0.0	0.0	0.0	inf	inf	-2070.1455710621717	3916.224213067771	0.0
65	0.004327008854110776	-3336.1466999092504	-3335.388079219595	2661.3444150149385	2662.0222276237855	0.0	0.0	0.0	0.0	inf	inf	-3299.0755972617617	2687.294186868181	0.0
66	0.01018374471228769	-3030.515897845961	-3021.5685294249083	2966.975217078228	2975.8417774184722	0.0	0.0	0.0	0.0	inf	inf	-2904.474148844499	3081.895635285444	0.0
67	0.058327816507730036	-2513.1847175674684	-2506.2958286785797	3484.3063973567205	3491.114478164801	0.0	0.0	0.0	0.0	inf	inf	-2401.9714096250023	3584.3983745049404	0.0
68	0.008480960130888273	-3135.5896050836536	-3134.9710483826225	2861.9015098405353	2862.439258460758	0.0	0.0	0.0	0.0	inf	inf	-3102.2256127009136	2884.144171429029	0.0
69	0.0950321829714252	-2414.2556323551303	-2413.969918069416	3583.2354825690586	3583.4403887739645	0.0	0.0	0.0	0.0	inf	inf	-2392.012970766637	3594.3568133633057	0.0
70	0.030730402454814836	-2700.07353442966	-2691.6690400476373	3297.417580494529	3305.7412667957433	0.0	0.0	0.0	0.0	inf	inf	-2577.738895692947	3408.6308884369955	0.0
71	0.03666360349828138	-2674.937384326775	-2672.2327579922553	3322.553730597414	3325.1775488511253	0.0	0.0	0.0	0.0	inf	inf	-2604.502289296546	3381.8674948333964	0.0
