Modelo 	 SSE 	 AIC 	 AICc 	 Delta_AIC 	 Delta_AICc 	 Likelihood 	 Likelihood_c 	 AIC_weights 	 AICc_weights 	 AIC_evid_ratio 	 AICc_evid_ratio 	 BIC 	 Delta_BIC 	 BIC_prob
1	0.00011565341780693576	-4424.608527407464	-4424.527446326383	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	-4413.497179983496	0.0	1.0
2	153697672.30533695	3948.014676800636	3948.0550808410403	8372.6232042081	8372.582527167424	0.0	0.0	0.0	0.0	inf	inf	3955.4222417499486	8368.919421733444	0.0
3	2089401837.5606682	4728.908355553761	4728.921778372553	9153.516882961225	9153.449224698936	0.0	0.0	0.0	0.0	inf	inf	4732.612138028417	9146.109318011913	0.0
