Modelo 	 SSE 	 AIC 	 AICc 	 Delta_AIC 	 Delta_AICc 	 Likelihood 	 Likelihood_c 	 AIC_weights 	 AICc_weights 	 AIC_evid_ratio 	 AICc_evid_ratio 	 BIC 	 Delta_BIC 	 BIC_prob
1	6.553850306398858e-07	-5997.491114924189	-5997.410306843381	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	-5986.369784129943	0.0	1.0
2	0.05692308158450711	-2546.522554564409	-2544.3600103947974	3450.96856035978	3453.050296448583	0.0	0.0	0.0	0.0	inf	inf	-2483.501680063678	3502.8681040662646	0.0
3	0.11535282813265488	-2297.9278825136075	-2288.4184485513433	3699.5632324105813	3708.9918582920373	0.0	0.0	0.0	0.0	inf	inf	-2168.179023247397	3818.190760882546	0.0
4	0.013561844261445537	-2926.289184158698	-2911.5654487501374	3071.201930765491	3085.844858093243	0.0	0.0	0.0	0.0	inf	inf	-2766.8834427744964	3219.4863413554463	0.0
