Modelo 	 SSE 	 AIC 	 AICc 	 Delta_AIC 	 Delta_AICc 	 Likelihood 	 Likelihood_c 	 AIC_weights 	 AICc_weights 	 AIC_evid_ratio 	 AICc_evid_ratio 	 BIC 	 Delta_BIC 	 BIC_prob
1	2.910190628866303e-24	-11890.428202233164	-11890.223074028036	nan	nan	nan	nan	nan	nan	nan	nan	-11877.234932766973	nan	nan
2	1339.7517839299494	396.384454673093	397.13838137466365	nan	nan	nan	nan	nan	nan	nan	nan	422.77099360547726	nan	nan
3	94.66666636277411	-137.5910840530146	-137.15585089239286	nan	nan	nan	nan	nan	nan	nan	nan	-117.8011798537264	nan	nan
4	760.0177024933006	275.0048718430822	275.2100000482104	nan	nan	nan	nan	nan	nan	nan	nan	288.1981413092743	nan	nan
5	821.7492831241198	284.6235947237627	284.64379674396474	nan	nan	nan	nan	nan	nan	nan	nan	287.92191209031074	nan	nan
6	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
7	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
8	1489.3752481501924	409.55892958371953	409.76405778884777	nan	nan	nan	nan	nan	nan	nan	nan	422.75219904991167	nan	nan
9	1407.3543611338162	396.22990293450016	396.35235191409197	nan	nan	nan	nan	nan	nan	nan	nan	406.1248550341443	nan	nan
