Modelo 	 SSE 	 AIC 	 AICc 	 Delta_AIC 	 Delta_AICc 	 Likelihood 	 Likelihood_c 	 AIC_weights 	 AICc_weights 	 AIC_evid_ratio 	 AICc_evid_ratio 	 BIC 	 Delta_BIC 	 BIC_prob
1	2.910190628866303e-24	-11890.428202233164	-11890.223074028036	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	-11877.234932766973	0.0	1.0
2	0.949557191562578	-1034.0153767490417	-1030.2363712241797	10856.412825484123	10859.986702803855	0.0	0.0	0.0	0.0	inf	inf	-974.645664151177	10902.589268615795	0.0
3	0.3803685341347759	-1208.9864072234648	-1203.268893099171	10681.4417950097	10686.954180928864	0.0	0.0	0.0	0.0	inf	inf	-1136.423425159408	10740.811507607565	0.0
4	607.0736931994863	278.066564548574	287.5636405719658	12168.494766781738	12177.7867146	0.0	0.0	0.0	0.0	inf	inf	370.419450811919	12247.65438357889	0.0
